implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,1.0876,30.05,203919360,203919360,199140,8471739629,140193774,185559,199085
one_copy,0.9532,34.29,178725888,178725888,174537,7979812586,127042019,205887,174566
zero_copy,0.5691,54.98,106705920,106705920,104205,7865446659,100551496,251759,104260
