implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,21.5618,97.13,4042833920,4042833920,246755,19420101973,523023197,801227,248657
one_copy,23.7160,88.31,4446748672,4446748672,271408,21272729986,575106556,611429,273611
zero_copy,15.8665,129.26,2974973952,2974973952,181578,20032605066,438068619,556211,191514
