implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,6.4142,40.78,1202667520,1202667520,73405,4328019630,166022002,177906,73346
one_copy,7.3903,35.39,1385676800,1385676800,84575,4912728151,193524384,158895,84547
zero_copy,4.2649,59.07,799670272,799670272,48808,4338528037,109729293,196928,48915
