implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,2.9080,44.99,545249280,545249280,532470,28273135343,405115353,372031,534524
one_copy,2.0148,64.95,377774080,377774080,368920,20519454139,288741039,340670,370984
zero_copy,1.4372,88.60,269469696,269469696,263154,21858871409,269294156,376284,265360
