implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,16.1775,64.66,3033284608,3033284608,185137,14930526778,420796154,483008,185458
one_copy,15.6946,66.69,2942730240,2942730240,179610,14848076191,410577002,418033,179942
zero_copy,13.0059,77.76,2438610944,2438610944,148841,16505186613,352242818,329592,150292
