implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,6.1558,85.05,1154215936,1154215936,281791,19769533605,342753310,457476,283639
one_copy,6.5915,79.42,1235902464,1235902464,301734,21538884535,370627032,344325,303947
zero_copy,4.2936,119.05,805056512,805056512,196547,19061799152,269423284,398058,206529
