implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,23.7656,176.13,4456054784,4456054784,67994,13518326676,433846258,34745891,4780
one_copy,21.4154,195.57,4015390720,4015390720,61270,12011473704,391149611,33586542,6459
zero_copy,17.2372,237.63,3231973376,3231973376,49316,15898504820,330645558,10308488,9110
