implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,1.9107,34.21,358256640,358256640,87465,4433526806,98413687,165859,87001
one_copy,2.0457,31.95,383578112,383578112,93647,4486849183,104433781,134811,93393
zero_copy,1.1567,54.11,216887296,216887296,52951,4104185916,64186836,194656,53042
