implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,25.5140,328.31,4783865856,4783865856,72996,13631699248,461315069,41527844,6552
one_copy,28.1228,298.11,5273026560,5273026560,80460,14436063411,509582111,37848509,22050
zero_copy,16.3190,507.99,3059810304,3059810304,46689,19863563434,321913177,7286868,41433
