implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,1.8223,35.89,341680128,341680128,333672,17715556569,260439372,259865,333846
one_copy,1.6255,40.23,304788480,304788480,297645,16969567909,237180605,305160,297878
zero_copy,0.9741,64.77,182639616,182639616,178359,15477176594,187774255,339264,178801
