implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,26.8002,78.11,5025038336,5025038336,76676,12373100233,484769083,21759520,12606
one_copy,20.5136,102.09,3846307840,3846307840,58690,10102261434,373569663,20647199,7872
zero_copy,21.9565,92.04,4116840448,4116840448,62818,11896355992,407035869,10678011,338
