implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,0.4864,33.59,91204608,91204608,89067,3534204433,61018298,165046,89067
one_copy,0.4764,34.30,89321472,89321472,87228,3561178133,60106832,149514,87241
zero_copy,0.2891,54.11,54213632,54213632,52943,3692911095,49607671,168817,52963
