implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,12.0168,43.54,2253144064,2253144064,137521,9226991493,314947102,285309,137497
one_copy,20.2186,25.85,3790979072,3790979072,231383,12480471717,460587471,345774,93052
zero_copy,9.0070,55.87,1688813568,1688813568,103077,9578325216,233501535,233945,103187
