implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,6.0368,43.33,1131909120,1131909120,276345,19612426716,335574730,378615,276376
one_copy,4.8669,53.75,912539648,912539648,222788,16012259271,273904952,327725,222940
zero_copy,3.6137,69.60,677568512,677568512,165422,16068606642,221262802,304860,167002
