implementation,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,3.6344,35.98,681447424,681447424,166369,9623770333,191379048,247700,165793
one_copy,3.8741,33.75,726396928,726396928,177343,10012022068,206154594,215799,176950
zero_copy,2.2216,56.41,416542720,416542720,101695,8903458396,128371165,290012,102255
